Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748479784,100,,Aggregated,0.000000,0.000000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,220,54,130.0,7485.3214094593895,17.191999999340624,30014.546541991876,46.027272727272724
1748479785,100,,Aggregated,0.000000,0.000000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,221,54,130.0,7451.590940412092,17.191999999340624,30014.546541991876,46.09502262443439
1748479786,100,,Aggregated,0.000000,0.000000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,221,54,130.0,7451.590940412092,17.191999999340624,30014.546541991876,46.09502262443439
1748479787,100,,Aggregated,0.100000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,222,55,130.0,7553.1846139192485,17.191999999340624,30014.546541991876,45.887387387387385
1748479788,100,,Aggregated,0.200000,0.100000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,223,56,130.0,7653.867546704283,17.191999999340624,30014.546541991876,45.681614349775785
1748479789,100,,Aggregated,0.200000,0.100000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,225,56,130.0,7586.079147218003,17.191999999340624,30014.546541991876,45.81777777777778
1748479790,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479791,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479792,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479793,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479794,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479795,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479796,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479797,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479798,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479799,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479800,100,,Aggregated,0.300000,0.200000,130,360,490,30000,30000,30000,30000,30000,30000,30000,30000,227,56,130.0,7519.865336264448,17.191999999340624,30014.546541991876,45.951541850220266
1748479801,100,,Aggregated,0.400000,0.000000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,229,58,130.0,7716.261270004462,17.191999999340624,30014.546541991876,45.55021834061135
1748479802,100,,Aggregated,0.400000,0.000000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,229,58,130.0,7716.261270004462,17.191999999340624,30014.546541991876,45.55021834061135
1748479803,100,,Aggregated,0.000000,0.000000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,230,59,130.0,7813.182196004377,17.191999999340624,30014.546541991876,45.35217391304348
1748479804,100,,Aggregated,0.200000,0.200000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,231,59,130.0,7779.848686861403,17.191999999340624,30014.546541991876,45.41991341991342
1748479805,100,,Aggregated,0.200000,0.200000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,231,59,130.0,7779.848686861403,17.191999999340624,30014.546541991876,45.41991341991342
1748479806,100,,Aggregated,0.300000,0.300000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,232,59,130.0,7746.741885590444,17.191999999340624,30014.546541991876,45.48706896551724
1748479807,100,,Aggregated,0.300000,0.300000,130,410,30000,30000,30000,30000,30000,30000,30000,30000,30000,232,59,130.0,7746.741885590444,17.191999999340624,30014.546541991876,45.48706896551724
1748479808,100,,Aggregated,0.400000,0.300000,130,360,30000,30000,30000,30000,30000,30000,30000,30000,30000,233,59,130.0,7713.733258399096,17.191999999340624,30014.546541991876,45.55364806866953
1748479809,100,,Aggregated,0.500000,0.300000,130,360,30000,30000,30000,30000,30000,30000,30000,30000,30000,234,59,130.0,7681.180226311966,17.191999999340624,30014.546541991876,45.61965811965812
